"","nb_potential_bs","nb_barrels_pbs","nb_containers_under_200_L_pbs","nb_containers_over_200_L_pbs","nb_wells_pbs","nb_green_plants_pbs","nb_other_plants_pbs","nb_large_volumes_pbs","nb_tires_pbs","nb_small_waste_pbs","nb_big_waste_pbs","nb_watercraft_pbs","nb_buildings_materials_pbs","nb_manholes_pbs","nb_protection_pbs","nb_troughs_pbs","nb_pit_pbs","nb_canals_pbs","nb_gutters_pbs","nb_others_pbs","nb_containers_pbs","nb_plants_pbs","nb_waste_pbs","nb_WMI_pbs","C1B201_mean","C2B201_mean","C3B201_mean","h_vegetation_mean","h_buildings_mean","ndwi_P_mean","ndvi_P_mean","lm_vegetation_ca","lm_vegetation_contig_mn","lm_vegetation_cpland","lm_vegetation_lpi","lm_vegetation_lsi","lm_vegetation_pd","lm_vegetation_shape_mn","lm_buildings_ca","lm_buildings_contig_mn","lm_buildings_cpland","lm_buildings_lpi","lm_buildings_lsi","lm_buildings_pd","lm_buildings_shape_mn","number_buildings","mean_size_buildings"
"197",32,0,4,1,0,14,0,0,7,0,0,0,0,6,0,0,0,0,0,0,5,14,7,6,8.37937796115875,-2.48037099838257,-1.75277158617973,2.17379226118946,3.81681532499492,0.0649037072793906,0.549474945636315,2.45197471293997,0.637008393450242,80,62.5711960943857,5.70700636942675,285.484183954199,2.11054524533584,0.525698898147304,0.734485133397189,59.1805766312595,13.50531107739,6.87671232876712,5136.01989563889,1.37099556386546,26,163.541216807692
"198",14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,-0.0597316920757294,-1.23740202188492,-1.3069007396698,9.54973958374608,4.680010086335,-0.0552232647138715,0.734425033614668,1.7245621984258,0.530250629464056,82.415548357242,92.3646459972235,4.03030303030303,231.942924624652,1.88998046212278,0.198233954764196,0.730894307638166,59.9597585513078,18.3098591549296,3.97777777777778,5044.54446862811,1.31243664450498,8,241.001428125
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.79071426391602,-2.27401411533356,-0.612102791666985,14.8813662984904,0,-0.10089933123987,0.76916644603461,0.700279189781879,0.876250799465085,74.3019943019943,63.8176638176638,3.67857142857143,428.400564199891,2.23700062006041,0,0,0,NA,NA,NA,NA,0,NA
"200",18,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,-2.37907224148512,-1.89306941628456,0.259575146250427,6.49731672938515,3.30868854306516,-0.000836657438594557,0.706463393377117,1.91130331570097,0.55354186256964,84.8851774530272,99.2066805845511,3.42446043165468,156.960958282006,1.91273275631559,0.0175498873433091,0.642361111111111,34.0909090909091,72.7272727272727,1.57142857142857,11396.0845495826,1.23426391671055,1,NA
"201",6,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,-2.55383776128292,-1.7704199552536,-0.447421357035637,8.15858093100169,3.29944568386966,-0.0243064060064522,0.712054514510406,2.02023563411148,0.478717362212475,85.3446573177958,95.1017183488051,3.53146853146853,296.995058333324,1.62069300594417,0.0901426031724513,0.695355756847692,40.7079646017699,18.5840707964602,3.25806451612903,8874.82690586963,1.20395911677212,7,84.07962
"202",12,1,0,3,0,2,0,0,1,3,0,0,1,0,0,1,0,0,0,0,4,2,5,1,-2.92836260795593,-1.15962664783001,-0.547563331201673,7.46918874544294,2.8579334432941,-0.0288359536096063,0.73012007705057,0.00957646755257271,0.492063492063492,33.3333333333333,87.5,1.5,20884.5275047447,1.149030491336,0.0570371338657546,0.757338709677419,46.1538461538462,43.3566433566434,2.08333333333333,7012.97510743544,1.06770746819948,4,80.1991795
"203",13,0,3,0,0,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,3,4,6,0,0.947138249874115,-0.995979636907578,1.74095664545894,3.08393548687019,6.79833333772287,0.0823901279922641,0.41548115331662,0.902981086311314,0.587686567518187,66.5930181175431,74.1935483870968,5.8125,2104.14152500305,1.4233399897209,0.571567921885449,0.653725330376873,64.9685973482205,47.4528960223308,4.40789473684211,2099.48801192608,1.35826322606197,15,248.956133333333
"204",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,23.4232888221741,-5.78515115380287,2.66625042259693,2.05530958059357,7.38945877776478,0.128717423883479,0.240158174527041,0.219061695265096,0.396455245601303,39.8907103825137,40.2550091074681,5.97872340425532,12781.7873253085,1.26770118943984,1.72467529255581,0.748894877944525,58.8112858464385,16.6281221091582,9.22727272727273,2609.18679558017,1.41922069191426,41,263.488090463415
"205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5460277795792,-5.12616372108459,-1.73719401657581,1.63701492829702,7.51000068809259,0.0970446074323248,0.22546844498012,0.341959695523109,0.601266670105584,39.3232205367561,21.7036172695449,6.52542372881356,5556.21035132077,1.49582084745861,1.46262356563429,0.769321282488523,67.1393509680938,30.7062994273248,6.63934426229508,1230.66525269569,1.58169532915548,14,544.221345428571
"206",53,1,5,0,1,25,0,0,0,0,0,0,0,16,0,0,2,1,0,2,6,25,0,17,8.73625826835632,-5.07033729553223,0.486850482411683,1.75101675834358,5.48940761178111,0.10643447508416,0.334570915605288,0.702673306670006,0.48980102197186,55.5934128336173,25.5536626916525,6.91666666666667,4838.66395339923,1.35494784516071,1.63413382830753,0.722331012117898,63.7783744203075,26.8245057359043,8,1835.83495306936,1.50046486806379,34,262.248885294118
